
> forestin@1.0.0 dev /home/ubuntu/forest
> ts-node ./src/server.ts

App listening on the 80
localhost:27017/forestinDB MongoDB Connected
13.125.129.153 GET / [object Object]
172.31.42.215 GET / [object Object]
172.31.42.215 GET / [object Object]
forestin.kr GET / [object Object]
forestin.kr GET /favicon.ico [object Object]
forestin.kr GET / [object Object]
172.31.42.215 GET / [object Object]
172.31.42.215 GET / [object Object]
undefined GET / [object Object]
forestin.kr GET / [object Object]
172.31.42.215 GET / [object Object]
172.31.42.215 GET / [object Object]
172.31.42.215 GET / [object Object]
172.31.42.215 GET / [object Object]
